Counter Name,Phone,Location,City
Mohipal Counter (To Cox's Bazar),01973-259644,Mohipal Bus Stand,Feni
Lalpul Counter,01973-259645,"Lalpul-Feni, Chattogram Road",Feni
Koska Counter,01973-259611,"Koska-Feni, Chattogram Road",Feni
Muhurigonj Counter,01973-259648,"Muhurigonj-Feni, Chattogram Road",Feni
Vatiyari Counter,01973-259684,Vatiyari Point,Chittagong
AK Khan Counter,01973-259535,AK Khan Circle,Chittagong
Chittagong Counter,N/A,Boropol,Chittagong
Cox's Bazar Counter,01973-259573,Bus Terminal,Cox's Bazar
Kolatoli Counter,01973-259572,Kolatoli Circle,Cox's Bazar
Sugondha Counter,01973-259587,Sugandha Point,Cox's Bazar
