Counter Name,Phone,Location,City/Area,Route
Mohipal Counter (To Chittagong),01973-259644,Mohipal Bus Stand,Feni,Feni - Chittagong
Lalpul Counter,01973-259645,"Lalpul-Feni, Chattogram Road",Feni,Feni - Chittagong
Koska Counter,01973-259611,"Koska-Feni, Chattogram Road",Feni,Feni - Chittagong
Muhurigonj Counter,01973-259648,"Muhurigonj-Feni, Chattogram Road",Feni,Feni - Chittagong
Vatiyari Counter,01973-259684,Vatiyari Point,Chittagong,Feni - Chittagong
AK Khan Counter,01973-259535,AK Khan Circle,Chittagong,Feni - Chittagong
Alonkhar Counter,01973-259685,Alonkhar Bus Stand,Chittagong,Feni - Chittagong
Boropol Counter,01973-259680,Boropol,Chittagong,Feni - Chittagong
Chauddagram Counter,01973-259612,Chauddagram Bazar,Cumilla,Feni - Chittagong
Chittagong Counter,N/A,Boropol,Chittagong,Feni - Chittagong
Mohipal Counter (To Dhaka),01973-259540,Mohipal Bus Stand,Feni,Feni - Dhaka
Sayedabad Counter,01973-259653,Sayedabad,Dhaka,Feni - Dhaka
Jatra Bari Counter,01973-259549,Jatra Bari,Dhaka,Feni - Dhaka
Mugda Counter,01973-259525,Mugda Bus Counter,Dhaka,Feni - Dhaka
Manink Nagar Counter,01973-259652,Manink Nagar Counter,Dhaka,Feni - Dhaka
TT Para Counter,01973-259410,TT Para,Dhaka,Feni - Dhaka
Airport Counter,01973-259512,Airport,Dhaka,Feni - Dhaka
Badda (Middle) Counter,01973-259516,"Madhya Badda, Uttara",Dhaka,Feni - Dhaka
Abdullapor Counter,01973-259514,Abdullapor Bus Stand,Dhaka,Feni - Dhaka
Mohipal Counter (To Cox's Bazar),01973-259644,Mohipal Bus Stand,Feni,Feni - Cox's Bazar
Cox's Bazar Counter,01973-259573,Bus Terminal,Cox's Bazar,Feni - Cox's Bazar
Kolatoli Counter,01973-259572,Kolatoli Circle,Cox's Bazar,Feni - Cox's Bazar
Sugondha Counter,01973-259587,Sugandha Point,Cox's Bazar,Feni - Cox's Bazar
Mohipal Counter (To Lakshmipur),N/A,Mohipal Bus Stand,Feni,Feni - Lakshmipur
Chilonia Counter,N/A,Chilonia,Feni,Feni - Lakshmipur
Dagonboiwa Counter,N/A,Dagonboiwa,Noakhali,Feni - Lakshmipur
Chowmohoni Counter,N/A,Chowmohoni Town,Noakhali,Feni - Lakshmipur
Lakshmipur Counter,N/A,Lakshmipur Main Road,Lakshmipur,Feni - Lakshmipur
